38.95;46.93;51.16;56.19;179.89;79.12;167.62;82.13;217;166.94;225.87;169.36;46.73;56.34;42.04;64.22;164.61;94.73;157.48;97.85;220.97;196.41;224.46;191.94;45.85;69.05;46.15;54.1;167.74;120.02;152.77;110.71;217.03;154.05;230.43;163.89
43.35;70.56;47.02;65.27;172.27;107.15;177.12;142.44;212.5;235.98;210.22;226.97;53.18;70.36;49.89;85.18;170.37;137.53;178.56;118.27;224.91;262.99;220.36;293.09;50.41;88.16;51.44;77.7;169.72;137.06;178.76;133.92;224.34;241.13;219.88;267.17
44.16;46.59;48.97;41.59;184.63;54.34;182.05;63.16;250.27;197.44;252.3;186.11;42.45;45.35;54.04;49.14;175.14;86.65;177.34;71.53;277.12;202.21;265.8;201.56;45.08;63.68;47.62;44.33;156.58;99.86;177.99;73.41;278.61;218.06;258.76;220.76
37.74;57.86;35.45;54.37;171.83;105.7;168.49;98.06;220.24;155.31;221.2;155.66;39.25;63.94;35.97;58.75;163.61;101.48;174.55;140.91;223.65;199.86;217.08;200.35;42.15;57.01;35.55;63.63;165.07;96.71;165.62;94.1;223.92;221.14;222.39;234.8
38.72;56.07;43.29;64.85;169.44;65;168.12;60.02;224.06;182.75;221.23;205.55;39.07;40.85;45.89;64.07;168.86;68.5;161.2;85.07;228.65;228.05;228.55;223.02;37.55;54.78;46.79;61.5;161.32;82.06;158;103.66;226.1;242.34;225.14;234.9
33.95;50.99;48.56;49.97;165.11;86.33;175.78;82.51;241.88;88.78;240.76;100.56;38.22;42.03;48.34;55.09;163.76;90.13;170.46;86.68;245.52;209.91;240.47;227.33;43.52;61.34;48.21;56.98;172.9;106.5;179.38;104.51;236.39;181.5;233.42;188.07
37.65;54.49;53.1;61.57;158.1;88.53;160.79;95.36;193.96;130.08;193.06;126.02;44.5;39.37;48.86;34.22;153.54;68.25;146.9;80.95;191.73;165.49;192.93;148.72;31.01;53.05;50.98;59.02;153.4;95.85;152.87;78.85;198.87;140.35;195.32;158.52
39.13;42.02;57.63;48.28;201.28;142.87;195.91;120.98;254.98;163.07;252.63;140.5;41.87;24.73;57.8;84.4;199.55;193.38;188.84;169.19;260.63;127.28;264.18;111.01;42.27;44.61;60.53;80.19;203.5;199.32;198.37;177.22;259.55;105.92;258.81;83.34
48.26;26.97;56.59;44.03;177.5;64.51;165.53;77.14;219.08;176.27;223.95;170.27;32.57;60.43;53.66;41.05;174.19;60.63;171.97;33.47;220.73;186.29;223.41;194.85;34.32;64.07;52.82;62.01;175.49;60.23;174.57;51.92;217.45;221.3;226.19;212.71
45.13;47.34;49.62;59.19;171.8;46.07;169.74;32.2;220.03;222.66;219.04;236.96;52.19;32.7;47.23;45.52;171.32;72.5;164.26;51.67;224.75;208.05;231.8;223.6;50.71;49.3;51.91;41.61;170.01;48.8;164.39;44.2;227.1;234.95;227.33;246.57
37.98;44.52;54;60.13;168.47;94.42;159.98;90.75;204.28;212.77;205.57;202.42;41.42;56.48;54.33;54.09;169.33;106.26;162.28;144.42;206.76;177.43;214.73;164.57;41.12;44.66;48.8;64.4;163.36;138.25;156.03;120.49;208.21;177.92;210.41;194.71
41.37;69.33;45.29;72.88;165.59;65.05;160.04;90.03;208.69;268.14;215.19;277.81;39.59;71.14;46.29;66.38;167.11;91.44;162.22;84.06;210.21;262.36;217.01;266.64;48.88;76.31;50.04;79.06;163.84;92.57;161.97;95.64;209.6;269.6;212.69;266.21
42.91;42.36;64.03;31.04;181.19;82.24;177.01;80.07;228.21;128.15;230.97;134.59;37.14;60.83;61.53;55.11;179.01;84.97;175.76;49.42;266.75;101.59;267.51;128.63;41.99;32.89;65.92;39.94;174.92;75.41;174.28;64.26;234.33;124.79;234.93;133.03
40.58;46.01;48.63;48.65;172.11;101.55;171.84;81.09;245.77;222.26;239.52;220.77;50.28;50.28;48.72;63.69;168.21;71.6;166.32;74.04;248.69;242.88;242.9;223.37;42.58;49.54;45.61;71.07;169.07;83.81;169.26;93.34;245.33;216.72;242.52;198.04
42.87;41.78;58.33;67.61;166.56;55.84;160.2;60.89;224.6;192.41;230.95;200.68;46.31;45.65;53.51;72.75;162.46;52;156.48;51.46;212.29;204.06;213.72;217.9;46.93;44.34;56.63;54.85;167.47;54.78;155.97;53.39;207.47;189.19;212.92;196.29
41.96;62.87;53.79;68.96;161.5;92.7;160.99;96.42;223.42;245.5;222.25;251.63;45.15;65.26;48.93;59.57;165.38;102.75;159.02;94.68;221.35;263.89;219.36;272.64;47.34;65.66;51.17;48.27;161.68;133.93;161.32;113.63;219.72;272.43;210.66;282.1
45.07;34.57;49.04;56.7;167.36;56.08;160.17;36.62;229.41;204.94;228.18;227.39;42.02;55.95;45.29;57.31;162.54;48.12;162.41;59.23;232.44;188.81;232.07;189.08;42.4;35.67;43.18;67.69;168.5;69.32;163.15;69.92;223.16;224.54;226.8;244.33
41.55;42.03;51.94;45.98;170.85;68.75;158.21;53.38;209.01;201.36;208.13;219.2;38.2;40.55;51.33;66.82;165.92;93.87;162.27;46.56;215.11;232.3;217.48;274.51;45.08;33.55;48.73;56.07;169.75;85.56;164.15;79.77;206.56;277.53;207.56;287.06
49.72;31.15;55.47;58.55;162.62;99.11;167.15;89.77;230.21;129.58;218.58;133.52;44.87;66.22;52.33;75.32;161.94;107.37;164.27;99.36;214.23;168.64;205.06;177.43;45.12;60.64;49.11;76.81;162.86;113.47;162.67;130.28;224.66;122.29;220.04;117.35
35.37;93.51;59.06;83.04;165.57;126.23;158.04;137.51;199.4;215.26;207.62;208.12;50.17;92.9;60.81;83.51;161.52;135.14;158.4;116.6;212.49;241.39;215.58;250.62;35.16;77.51;57.62;79.32;165.8;131.19;164.14;160.28;214.44;222.18;212.2;221.38
46.17;66.69;57.06;47.67;178.83;85.97;169.59;68.84;228.54;180.25;229.93;194.01;43.08;58.54;57.81;47.16;182.48;73.89;172.78;58.74;225.02;185.27;228.4;200.92;46.82;59.23;60.48;51.98;186.5;73.22;171.22;58.76;224.78;190;225.59;202.14
45.06;56.06;60.26;74.73;175.66;121.82;174.09;97.35;230.59;180.76;235.88;200.68;42.22;53.76;61.96;69.55;175.41;90.46;174.26;89.98;228.18;202.47;230.55;234.53;49.42;90.22;62.53;63.76;182.23;93.76;175.21;122.03;232.9;240.9;230.53;229.33
51.28;31.34;53.92;65.7;188.93;93.28;183.41;74.81;240.2;250.37;236.95;277.14;43.33;54.01;50.76;41.79;186.86;85.55;188.79;86.81;236.36;250.19;226.55;271.55;38.65;57.17;53.01;46.01;187.21;131.16;178.52;137.65;232.44;246.02;231.79;255.5
42.9;65.17;56.23;66.57;179.32;96.04;176.78;97.12;221.03;184.86;217.45;188.55;43.35;53.05;54.78;40.04;184.29;72.26;184.03;84.35;246.13;293.94;239.29;282.88;47.69;66.47;54.46;50.55;185.93;69.23;188.59;65.21;236.08;305.33;237.97;299.57
